,period,gross_oil_prod,gross_gas_prod,gross_ngl_prod,gross_water_prod,net_oil_prod,net_gas_prod,net_ngl_prod,realized_oil_price,realized_gas_price,realized_ngl_price,oil_revenue,gas_revenue,ngl_revenue,total_revenue,fixed_loe,variable_loe_oil,variable_loe_gas,variable_loe_water,total_variable_loe,gcp,prod_tax,ad_val_tax,total_expenses,d_and_c,undisc_cf,Cum PV-20.0%
61,62.0,0.18591913514945965,0.8797751657557629,0.05894493610563611,0.7445002430562735,0.1561720735255461,0.5468682430337822,0.04951374632873433,78.2,2.0291,40.0,12.212656149697706,1.1096503519398475,1.9805498531493733,15.302856354786927,7.7,0.14873530811956773,0.0,1.0869703548621592,1.235705662981727,0.5031187835910796,1.1018056575446586,0.0,10.540630104117465,0.0,4.762226250669462,-654.8476745484128
62,63.0,0.1825455794518311,0.8648910867654753,0.057947702813286844,0.7323553948897796,0.15333828673953814,0.5376162995334195,0.04867607036316095,78.2,2.0291,40.0,11.991054023031884,1.0908772333832615,1.947042814526438,15.028974070941583,4.0,0.1460364635614649,0.0,1.0692388765390783,1.2152753401005432,0.49460699557074594,1.082086133107794,0.0,6.791968468779084,0.0,8.2370056021625,-651.9401825389572
63,64.0,0.1792864614681115,0.8504902688578435,0.056982848013475515,0.7206006073261365,0.15060062763321366,0.5286647511220355,0.04786559233131943,78.2,2.0291,40.0,11.77696908091731,1.0727136465017222,1.9146236932527771,14.764306420671808,4.0,0.1434291691744892,0.0,1.0520768866961592,1.1955060558706483,0.4863715710322727,1.0630300622883702,0.0,6.744907689191291,0.0,8.019398731480518,-649.1559058496705
64,65.0,0.17613615090549972,0.8365497405652869,0.05604883261787422,0.7092173828468218,0.14795436676061977,0.5199993187353823,0.04708101939901434,78.2,2.0291,40.0,11.570031480680466,1.0551306176459643,1.8832407759605734,14.508402874287004,4.0,0.14090892072439978,0.0,1.0354573789563597,1.1763662996807596,0.47839937323655174,1.044605006948664,0.0,6.699370679865975,0.0,7.809032194421029,-646.4891134265333
65,66.0,0.1730893778184693,0.8230479578258663,0.05514421317433304,0.6981883754126441,0.14539507736751422,0.5116066105845585,0.046321139066439754,78.2,2.0291,40.0,11.369895050139613,1.0381009735371276,1.8528455626575902,14.260841586334331,4.0,0.13847150225477545,0.0,1.0193550281024604,1.157826530357236,0.4706780817377938,1.0267805942160717,0.0,6.655285206311101,0.0,7.605556380023231,-643.9343869748035
66,67.0,0.17014120437572566,0.809964695070781,0.05426763456974232,0.6874973022325441,0.14291861167560954,0.5034740544559974,0.04558481303858355,78.2,2.0291,40.0,11.176235433032666,1.0215992038966644,1.823392521543342,14.021227158472673,4.0,0.13611296350058052,0.0,1.0037460612595144,1.1398590247600948,0.4631961300995176,1.0095283554100323,0.0,6.612583510269645,0.0,7.408643648203028,-641.4866004708856
67,68.0,0.16728699923206414,0.7972809461186149,0.053417823389947196,0.6771288635229656,0.14052107935493388,0.495589836107331,0.044870971647555644,78.2,2.0291,40.0,10.98874840555583,1.0056013364453853,1.7948388659022259,13.78918860790344,4.0,0.1338295993856513,0.0,0.9886081407435298,1.1224377401291812,0.4559426492187445,0.9928215797690476,0.0,6.571201969116974,0.0,7.217986638786467,-639.1409012739974
68,69.0,0.16452241422962105,0.7849788338624929,0.05259358186878703,0.6670686694260608,0.1381988279528817,0.48794284312892555,0.0441786087697811,78.2,2.0291,40.0,10.807148345915348,0.9900848229929029,1.767144350791244,13.564377519699494,4.0,0.13161793138369685,0.0,0.9739202573620488,1.1055381887457456,0.44890741567861153,0.9766351814183635,0.0,6.531080785842721,0.0,7.033296733856774,-636.8926926916928
69,70.0,0.16184336318576112,0.7730415278542662,0.05179378236623583,0.6573031733524948,0.13594842507603933,0.4805226137142118,0.043506777187638096,78.2,2.0291,40.0,10.631166840946277,0.9750284354875072,1.7402710875055238,13.346466363939308,4.0,0.1294746905486089,0.0,0.9596626330946424,1.0891373236432513,0.4420808046170749,0.9609455782036301,0.0,6.492163706463957,0.0,6.854302657475351,-634.7376178685255
70,71.0,0.1592460025532814,0.7614531689925758,0.05101736232250258,0.6478196110994356,0.13376664214475636,0.47331928984578503,0.04285458435090216,78.2,2.0291,40.0,10.460551415719948,0.9604121710260825,1.7141833740360866,13.135146960782116,4.0,0.12739680204262513,0.0,0.945816632205176,1.073213434247801,0.43545374665812225,0.9457305811763123,0.0,6.454397762082236,0.0,6.68074919869988,-632.6715448805795
